name,area
West Lake,5266853.581338093
Hồ Ngãi Lạng,1513163.5636385754
Yen So Park,1402809.2729375975
Hồ Đồng Quan,985887.5987433301
Thong Nhat Park,450295.3914810301
Hồ Cẩm Quý,426160.7027020124
Dong Do Reservoir,403473.25801650394
Hồ Bán Nguyệt,373566.8420123264
Khu đua xe Ô tô địa hình - Otofun,358222.61173658475
Hồ Quan Sơn,340388.8036186817
Hồ Mèo Gù,275238.4502482688
Peace Park,208561.75403028983
Pearl Lake,207743.68053653184
Hồ Yên Thịnh,186287.29052651123
Hồ Cầu Bãi,182100.01865294256
Hanoi Youth Park,179823.41920604074
Hồ Định Công,174138.13947312435
Công viên Thanh Xuân,169474.22943209365
Long Bien Park,157078.28182799337
Co Dung Lake,155330.8436366528
Đập Vống,153625.61817091942
Presidential Palace Historical Site,141474.229021501
Mễ Trì Park,137644.57390368992
Dong Da Lake,132195.1138051488
Phung Khoang Park,129875.36155911148
Hồ Hoa Sơn,129622.58213212217
Astronomy Park,128398.30555332749
Hồ Yên Bình,125456.72419721939
Hồ Văn Sơn,110310.1034188898
Đầm Sản,107217.45137401177
Hồ Hàm Lợn,104424.34249653197
Hồ Đa Lát,103517.40898028582
Công viên Nam An Khánh,99892.07306171754
Hồ Điều Hòa,96677.57242770639
Hanoi Botanical Gardens,95885.48234811689
Cau Giay Park,94158.67711938203
Công viên Nghĩa Đô,91730.94534079033
Viglacera Community Park,88812.31871298718
Hồ Kỳ Viên,88443.77439376367
Công viên Đền Lừ,88301.60027814294
VinUni Lake,87978.55695116914
Indira Gandhi Park,86225.62353234949
Mars,85577.52251996413
Hồ Đền Thượng,84461.73998572744
Mai Dich Cemetery Park,83102.3713774886
Central Park,80345.66851759246
Công viên Khởi nghiệp,78173.92874959402
Hồ San Hô,74753.12950985166
Hồ Tòng Lệnh,72863.79762834556
Hồ Hòa Bình,71725.9018276168
Công viên Ngoại giao Đoàn,71637.34028758484
Công viên Hà Cầu,71577.08667508014
Giang Vo Lake,69813.21589447021
Công viên Âm nhạc Đô Nghĩa,69579.35161169589
Ngoc Thuy Park,69448.35463713942
Văn Quán Lake Park,68255.70184635391
Công viên Linh Đàm,67649.89070587992
Hồ Phùng Khoang,67380.0705935776
Hồ Quảng Bá,62530.424642552665
Mai Dich Park,62002.20172120152
Japanese Garden,57621.81124629907
Công viên Ba Mẫu,55865.11990542636
Phim trường Smiley Ville,53292.16365702824
Công viên KĐT Vĩnh Hoàng,50772.31070786001
Dự án cải tạo hồ Đầu Băng,50623.19841774502
Vnua Eco Education Center,50428.242790981654
Archeological site of Thang Long Imperial Citadel,50011.646063683496
Vườn hoa Thạch Bàn,49047.36843846977
Ao cá,44990.01743365868
Hồ Nghĩa Tân,44434.98235368081
Ao Vua,44350.62389359963
Hồ Thanh Trì,44313.835651928115
Hồ Bát Tràng,43169.87962046785
Xa Dan Lake,42551.66879501918
Công viên Văn Phú,42376.28352673418
Hồ Lâm Du,41546.30402651416
Hồ Tân Xã,41333.580123304215
Hồ Đầm Biền,41206.06001763245
Công viên Bán đảo Linh Đàm,40801.11166319688
Den Lu Lake,40722.91754320508
Thung lũng hoa Hồ Tây,39704.836618703936
Công viên Bắc Linh Đàm,38574.49421790335
Hồ Câu Phúc Thành,37815.207715592725
Đầm Đông,36152.831025446365
Hồ Rùa,33195.78744426147
Hồ Hạ Đình,32702.82437378695
Ao đường trong,32605.653113445765
Vườn thực vật,32161.661483656295
Hồ Cầu Tình,30724.17176630791
Hồ Cống Thôn,30689.82549302733
Hồ Đồng Bồ,29711.510062999914
Hồ Văn Quán,27946.81428626686
Vườn hoa Nguyễn Trãi,27684.08731031355
Đầm Chuối,26247.110115057396
Công viên,25801.383373551216
Salt Sea Lake,25757.472547565656
Hồ câu Yên Mỹ,25192.94244331704
Hồ Bộ Đội,23700.068298300586
Hồ Vĩnh Hoàng,23561.596685724882
Bo De Lake,22133.151044762784
Ao,22000.782487783017
Gò Đống Đa,21848.4109707288
Hồ Mít,21558.751844918916
Công viên Trung Tâm,21309.686253896027
Hồ Sen Chùa Đậu,20168.300668428546
Hồ Sơn,19974.34082918599
Hồ Tư Đình,19196.36203357581
Núi chùa,19128.41660400933
Hồ Kim Liên,19032.096675900837
Hai Au Park,18951.04325738062
Ao đầu làng,18839.70249775725
Lenin Park,17864.433309257198
Hồ Ba Góc,17428.048854620756
Công viên hồ Cần,17344.515585264442
Lang Lake,16566.112270988506
Hồ Đầm Biển,16228.638008071897
Hồ Dương Văn Bé,15975.715786042932
Quảng Trường Sinh Viên,15630.448304886446
Lam Ha Park,15463.896319413992
Hồ Đầu Băng,15244.029197146321
Sông Đình,15197.496673504505
Hồ Sen,14897.182375806218
Trúc Động Lake,14499.903453558813
Vườn hoa Thượng Thanh,14446.530663949576
Giam Garden,14003.943301070367
