name,lat,lon
West Lake,21.0437555,105.8357927
Đầm Đông,21.0681651,105.8211534
Xa Dan Lake,21.0124793,105.8320972
Hai Bà Trưng Lake,21.0115747,105.8564172
Hồ Định Công,20.9782934,105.8323595
Van Xuan Garden,21.039877,105.8469905
August 19 Garden,21.0230342,105.8573004
Hồ Khương Đình,20.9847042,105.8189582
Gò Đống Đa,21.0115058,105.8255133
Hồ Văn Chương,21.0208565,105.8339509
Thong Nhat Park,21.0083454,105.8459575
Thien Quang Lake,21.0286071,105.8360445
Indira Gandhi Park,21.0183662,105.8159351
Jade Island,21.0304538,105.852503
Bai Say Garden,21.0349749,105.8365194
Pasteur Garden,21.0136237,105.8599125
Hồ Kim Liên,21.0047322,105.8376301
Hồ Tiền,21.0038184,105.8436235
Den Lu Lake,20.9855082,105.856928
Công viên Đền Lừ,20.9855947,105.8577824
Lang Lake,21.023469,105.8067575
Hồ Nghĩa Tân,21.0398019,105.796647
Chùa Láng,21.0233758,105.8028347
Ngoc Son Temple,21.0306256,105.8524523
Văn Lake,21.0263282,105.8356479
Ao Khương Thượng,21.0040402,105.8248709
Hồ Hố Mẻ,21.0013483,105.8305377
Cau Giay Park,21.026873,105.791921
Lenin Park,21.0309241,105.8403128
Thung lũng hoa Hồ Tây,21.0728532,105.8213134
Ao Tháp,21.0319943,105.7936452
Hồ Bảy Gian,21.0354782,105.8271662
Hồ Đầm Tròn,21.0354488,105.8292169
Hồ Quảng Bá,21.0713909,105.8251817
Hanoi Botanical Gardens,21.0384606,105.8317331
Peace Park,21.0630382,105.7897831
Friendship Garden,21.0636027,105.7884483
Hồ Điều Hòa,21.0492229,105.7758223
Công viên Nghĩa Đô,21.0396186,105.7974113
Ao Mỗ Lao,20.9839253,105.7839342
Ao xóm đông,20.9790417,105.782568
Công viên Bắc Linh Đàm,20.9681034,105.8298421
Hang Trong Garden,21.0270959,105.8500849
Tran Quoc Pagoda,21.0477654,105.8372624
Hồ Thanh Trì,20.9957698,105.886606
Hồ trước đình Bằng A,20.9625913,105.8224086
Hồ Vĩnh Hoàng,20.9852337,105.8681309
Chính điện,21.0409331,105.8193342
Hồ 3 góc,21.1496839,105.7584416
Pomelo Park,21.0765314,105.7993724
Pineapple Park,21.0776245,105.7966381
Vườn hoa Bác Cổ,21.0250658,105.8597056
Ao cá đình Khương Hạ,20.9921727,105.817054
Hồ Phú Diễn,21.0538975,105.763707
Ao Dài,21.0106011,105.7803031
Ao Tròn,21.0109514,105.7791964
Ao Chùa,20.9801893,105.8009405
Phuc Thanh Garden,21.0085275,105.8037581
Ao Phủ,21.023184,105.8011618
An Duong Tennis Courts,21.0545943,105.8401991
Công viên Thanh Xuân,21.0023761,105.799975
Pearl Well,21.1109781,105.8713737
Hồ Phú Đô,21.0101749,105.7634905
Chùa Phúc Long,20.934132,105.8326948
Hồ Dương Văn Bé,20.9953185,105.8720961
Công viên Ngoại giao Đoàn,21.0641915,105.7973308
Vườn hoa Nguyễn Trãi,20.9718196,105.7828365
Vườn hoa Hà Đông,20.9732836,105.7802222
Park A - Van Canh Resident Area,21.0406272,105.7333569
Park B - Van Canh Resident Area,21.0373639,105.7328153
Hau Ai Village Pond,21.0380117,105.7289011
Bi Temple Pond,21.0342567,105.7298061
12 Zodiac Garden,20.964109,105.8499755
Culture Village at Yen So Park,20.9563038,105.8553978
Bamboo Garden,20.9649432,105.8507475
Yen So Lake,20.9564052,105.8531283
1,21.0345807,105.7397878
Mai Dich Park,21.0376281,105.7715357
Van Canh War Soldier Memorial,21.0364761,105.7299737
Công Viên C Khu Chung Cư Vân Canh,21.0366039,105.7374809
Ao Thị Cấm,21.0352917,105.7502185
Thi Cam Temple,21.0377301,105.7579539
Long Tri Lake,21.0216074,105.6461396
Công viên Nam An Khánh,20.9979761,105.7143333
Công viên Linh Đàm,20.9658407,105.8370523
Mai Dich Cemetery Park,21.0389013,105.7721272
Sân Cây Đề,21.0174574,105.7794231
Công viên Yên Hòa,21.019662,105.7991263
Ao cầu Vòng,21.0775813,105.7741488
Hồ câu Hùng Thông,21.0650231,105.7739435
Vườn hoa hồ Giảng Võ,21.0281117,105.8214947
Giang Vo Lake,21.0274687,105.8210937
Hồ Tây Mỗ,20.9979838,105.7450282
Vườn hoa Thanh Xuân Bắc,20.9912815,105.8001321
Hồ nước,21.1088754,105.8704479
Miếu Thần Gò,21.0539326,105.7871051
Hồ Rùa,20.9946235,105.8362668
Hồ Hạ Đình,20.9864064,105.8108093
Hồ Sơn,20.9943946,105.8764653
Hồ Cần,20.9963053,105.8749973
Ao Mục Bài,21.0661744,105.7062193
Giếng Quán,21.0637136,105.7037457
Tay Son Park,21.0263036,105.8505249
Khu vui chơi trẻ em,20.9719709,105.8765216
Công viên nội bộ,20.9725159,105.8785854
Công viên,20.9744155,105.8781796
Phung Khoang Park,20.9974043,105.7936318
Yen My Pagoda,20.9479947,105.8706476
Núi chùa,20.9491811,105.869883
Vườn Bách Thảo,20.9485777,105.8707684
Ao cá,20.9460411,105.8706108
Hồ câu Yên Mỹ,20.9516927,105.8754574
Ao dài,20.9508761,105.8766751
Ao đường trong,20.9449454,105.8731261
Ao đầu làng,20.9505627,105.8790137
Ao,20.9482624,105.8763112
Ao đình,20.947103,105.8687018
One Pillar Pagoda,21.0358243,105.8336265
Hồ Linh Chiểu,21.0357534,105.8336533
Fish pond,21.0376627,105.8335154
Diện tích Chùa Một Cột,21.035526,105.8338162
Ngoc Ha Lake,21.037039,105.829439
Quan Thanh Temple,21.0427551,105.8367321
Chùa Vĩnh Khánh,21.0408014,105.8194215
Vien Village Communal Temple,21.0655142,105.7793887
Công viên OCT1,21.0652936,105.7826073
Chùa Pháp Bảo Tạng,21.0374812,105.8470575
Yen Thanh Temple,21.0408106,105.8452631
Hanoi Archbishop’s Residence,21.0278258,105.849735
St Joseph Major Seminary Hanoi,21.0271969,105.8488816
Giam Garden,21.0275348,105.8351368
Chùa Bà Nành,21.028752,105.8366629
Quan Su Park,21.0259844,105.8454235
Co Tan Park,21.0247674,105.858221
Dòng Thánh Phao lô Hà Nội,21.0238899,105.85015
Ao Đình Bằng A,20.9618641,105.821843
Vườn hoa Trần Quang Diệu,21.0144222,105.8253872
Vườn hoa Định Công,20.9868033,105.8323651
Sân chơi tòa nhà Huy Hoàng,20.9927102,105.8079745
Công viên Hoàng Văn Thụ,20.9867334,105.85114
Công viên Bán đảo Linh Đàm,20.9653071,105.8293317
Văn Quán Lake Park,20.9764029,105.7927422
Vườn hoa Việt Kiều,20.9839452,105.7864281
Vườn Trung Văn,20.9915979,105.789953
Vườn hoa Biệt thự Quốc Hội,20.9935063,105.7943451
Vườn hoa Trung Hòa - Nhân Chính,21.0048556,105.8023482
Công viên Trung Yên,21.0154427,105.8000229
Vườn hoa Yên Hòa,21.0200879,105.7961505
Vườn hoa Cửa Nam,21.0280507,105.8433999
Công viên KĐT Vĩnh Hoàng,20.9856531,105.8683267
Vườn hoa Bắc Long Biên,21.0460265,105.865346
Công viên Văn Phú,20.956269,105.7675981
Công viên Hà Cầu,20.9606567,105.7802808
Công viên tổ 9 Mỗ Lao,20.9787242,105.7825485
Astronomy Park,20.9804772,105.7601462
Công viên Âm nhạc Đô Nghĩa,20.9592109,105.7380136
Vườn hoa Đại học Kinh tế Quốc dân,20.9994242,105.8448028
Vườn hoa Văn Quán,20.9748434,105.7918527
Ao Đình Văn Quán,20.9745728,105.7866292
Bể bơi,20.97935,105.7421371
Bể bơi trẻ em,20.979494,105.7420787
Miếu Thôn Hạ,21.010687,105.8141989
Sân chơi khu tập thể B8,21.0108778,105.8143517
Đình Ứng Thiên,21.0116708,105.8124383
Đền thờ Quang Trung,21.0129145,105.8239861
Japanese Garden,21.0025164,105.7565821
Công viên Con Voi,21.0101635,105.8337038
Vườn hoa Kim Liên,21.0079071,105.8399404
Central Park,20.998049,105.7430544
Công viên Thể thao,21.0036841,105.7420815
Đình Phượng Nghĩa,20.9514417,105.7131317
Văn Quán Phượng Nghĩa,20.9501495,105.7100445
Hồ Tâm Linh,20.9979602,105.7307252
Đài phun nước Bách Khoa,21.0062045,105.8431924
Chùa Thanh Nhàn,21.0224754,105.8251987
Chùa Đại An,21.0297266,105.7686538
Dien Hong Park,21.0259867,105.8563664
Chùa Nam Đồng,21.0175593,105.8284927
Chùa Bộc,21.0082501,105.8282002
Mễ Trì Park,21.0073801,105.7733549
Đình Quan Nhân,21.0042582,105.8098717
Quảng trường,20.9612337,105.7474593
Sân chơi GoldSeason,20.9952827,105.8055549
Vườn nhà ai đó - Mạnh,21.0685664,105.7624848
Vườn hoa Lạc Long Quân,21.0689335,105.8122589
Vườn hoa Thuỷ lợi,21.0087661,105.824739
Hồ Phùng Khoang,20.9966898,105.7919343
Đầm Chuối,20.9866906,105.8185171
